Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_tescase_003_testlistener,Chrome 121.0.0.0,,,07-02-2024 19:39:01,07-02-2024 19:39:29,28.205s,PASSED
,,,,,,,
Test Cases/Amazon_testcase_003,Chrome 121.0.0.0,,,07-02-2024 19:39:01,07-02-2024 19:39:29,28.135s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 19:39:01,07-02-2024 19:39:03,2.006s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 19:39:03,07-02-2024 19:39:04,1.422s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 19:39:04,07-02-2024 19:39:06,2.201s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 19:39:07,07-02-2024 19:39:07,0.618s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 19:39:07,07-02-2024 19:39:09,1.513s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_003_OR/span_Hello, sign in""))",Chrome 121.0.0.0,,,07-02-2024 19:39:09,07-02-2024 19:39:10,1.285s,PASSED
"setText(findTestObject(""Amazon_testcase_003_button_OR/input_Email or mobile phone number_email""), PhoneNo)",Chrome 121.0.0.0,,,07-02-2024 19:39:10,07-02-2024 19:39:12,1.741s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_003_OR/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 19:39:12,07-02-2024 19:39:12,0.290s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_testcase_003_OR/input_password""), ""sWIDqSuYDTb6OdfrXQbw6w=="")",Chrome 121.0.0.0,,,07-02-2024 19:39:12,07-02-2024 19:39:24,11.833s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_003_OR/inputsignInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 19:39:24,07-02-2024 19:39:24,0.282s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_003_OR/span_Account  Lists""))",Chrome 121.0.0.0,,,07-02-2024 19:39:24,07-02-2024 19:39:27,3.287s,PASSED
"click(findTestObject(""Amazon_testcase_003_button_OR/h2_Your Orders""))",Chrome 121.0.0.0,,,07-02-2024 19:39:27,07-02-2024 19:39:29,1.457s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 19:39:29,07-02-2024 19:39:29,0.129s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 19:39:29,07-02-2024 19:39:29,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 19:39:29,07-02-2024 19:39:29,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 19:39:29,07-02-2024 19:39:29,0.002s,PASSED
