Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_testcase_005_Excel,Chrome 121.0.0.0,,,07-02-2024 20:44:29,07-02-2024 20:44:55,26.243s,PASSED
,,,,,,,
Test Cases/Amazon_testcase_005,Chrome 121.0.0.0,,,07-02-2024 20:44:29,07-02-2024 20:44:55,26.156s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:44:29,07-02-2024 20:44:31,2.112s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:44:31,07-02-2024 20:44:32,1.355s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:44:32,07-02-2024 20:44:35,2.193s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:44:35,07-02-2024 20:44:36,1.374s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 20:44:36,07-02-2024 20:44:37,0.625s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 20:44:37,07-02-2024 20:44:39,1.923s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_005_OR/span_Hello, sign in""))",Chrome 121.0.0.0,,,07-02-2024 20:44:39,07-02-2024 20:44:40,1.353s,PASSED
"setText(findTestObject(""Amazon_testcase_005_button_OR/input_Email or mobile phone number_email""), PhoneNo)",Chrome 121.0.0.0,,,07-02-2024 20:44:40,07-02-2024 20:44:41,1.387s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_005_OR/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 20:44:41,07-02-2024 20:44:42,1.051s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_testcase_005_OR/input_password""), ""sWIDqSuYDTb6OdfrXQbw6w=="")",Chrome 121.0.0.0,,,07-02-2024 20:44:42,07-02-2024 20:44:43,1.047s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_005_OR/inputsignInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 20:44:43,07-02-2024 20:44:44,0.286s,PASSED
"selectOptionByValue(findTestObject(""Amazon_testcase_005_button_OR/select_All Departments""), ""search-alias=stripbooks"", true)",Chrome 121.0.0.0,,,07-02-2024 20:44:44,07-02-2024 20:44:48,4.621s,PASSED
"setText(findTestObject(""Object Repository/Amazon_testcase_005_OR/input_field-keywords (1)""), inputSearch)",Chrome 121.0.0.0,,,07-02-2024 20:44:48,07-02-2024 20:44:50,2.035s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_005_OR/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,07-02-2024 20:44:50,07-02-2024 20:44:54,3.539s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_005_OR/span_The Da Vinci Code (Abridged Edition) P_4896eb""))",Chrome 121.0.0.0,,,07-02-2024 20:44:54,07-02-2024 20:44:55,1.050s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 20:44:55,07-02-2024 20:44:55,0.131s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:44:55,07-02-2024 20:44:55,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:44:55,07-02-2024 20:44:55,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:44:55,07-02-2024 20:44:55,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:44:55,07-02-2024 20:44:55,0.001s,PASSED
